PRCP       002020 19100801 20101130 MOOLA BULLA                                 
19100801 19100831    50.8
19100901 19100930     5.8
19101001 19101031    39.4
19101101 19101130    35.0
19101201 19101231   135.9
19110101 19110131    37.4
19110201 19110228    59.5
19110301 19110331     0.0
19110401 19110430    23.9
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930    11.5
19111001 19111031    27.4
19111101 19111130    50.8
19111201 19111231   210.2
19120101 19120131    24.0
19120201 19120229   122.5
19120301 19120331    86.6
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     5.3
19121101 19121130    33.9
19121201 19121231    38.8
19130101 19130131    92.1
19130201 19130228   123.2
19130301 19130331    79.2
19130401 19130430     0.0
19130501 19130531    19.1
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     1.8
19131101 19131130     2.1
19131201 19131231    19.3
19140101 19140131   387.2
19140201 19140228    54.7
19140301 19140331    23.2
19140401 19140430    18.1
19140501 19140531    40.6
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    20.6
19141101 19141130   191.2
19141201 19141231   259.2
19150101 19150131   149.7
19150201 19150228    99.4
19150301 19150331    66.7
19150401 19150430     0.0
19150501 19150531    21.8
19150601 19150630    15.2
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930    15.7
19151001 19151031     6.9
19151101 19151130     3.3
19151201 19151231    33.8
19160101 19160131   112.1
19160201 19160229    58.8
19160301 19160331    56.4
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    62.4
19161101 19161130    94.5
19161201 19161231    39.6
19170101 19170131   337.6
19170201 19170228   142.4
19170301 19170331    58.7
19170401 19170430     4.3
19170501 19170531     2.1
19170601 19170630     5.9
19170701 19170731     0.0
19170801 19170831     6.9
19170901 19170930    23.9
19171001 19171031    49.3
19171101 19171130   116.6
19171201 19171231    73.2
19180101 19180131   136.5
19180201 19180228   213.1
19180301 19180331    21.1
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.8
