id,Lon,Lat,Alt
020020,139.65,-32.64,275
024501,139.17,-34.1,285
024511,139.08,-34.18,415
024515,139.03,-35.3,18
024521,139.27,-35.12,15
024535,139.6,-34.57,24
025004,139.96,-34.7,68
025015,140.91,-35.26,105
025018,140.5,-34.79,60
041011,151.87,-27.71,467
041013,152.07,-28.23,456
041024,151.85,-27.21,588.3
041050,151.11,-26.78,356.3
041079,151.84,-28.54,914.4
041082,151.63,-27.72,608
042003,149.12,-28.24,210
042023,150.18,-26.66,304.8
043026,148.35,-26.77,487.7
043035,149.07,-27.15,245.7
043038,149.19,-26.58,311
044002,146.58,-25.8,328
044026,148.35,-26.77,487.7
044042,147.8,-28.97,150
044054,147.12,-28.81,130
044168,146.03,-25.46,350
046042,143.09,-30.85,151
047029,142.57,-33.39,53
047031,141.59,-31.88,238
047033,142.57,-33.43,48
047045,141.77,-33.33,44
047053,141.91,-34.11,37
048031,148.59,-29.55,145
048039,145.85,-29.32,133
049023,145.85,-29.32,133
050004,142.91,-34.45,64
050018,147.67,-32.29,210
050028,147.52,-32.9,264
050031,148.19,-32.73,285
050052,147.23,-33.07,195
051033,147.13,-31.86,197
051049,147.95,-31.99,215
052019,148.69,-29.35,149
053003,149.79,-29.92,229
053018,150.02,-28.99,222
054003,150.61,-30.38,500
054004,150.57,-29.87,296
054036,150.89,-29.24,440
055045,150.03,-31.18,365
055055,150.46,-30.96,290
055063,150.72,-31.65,426
062021,149.6,-32.6,454
062026,149.98,-32.81,605
063005,149.56,-33.43,713
064008,149.27,-31.27,505
065022,148.59,-33.16,530
070028,148.89,-34.74,595
072150,147.46,-35.16,212
073012,148.32,-34.75,380
073038,147.52,-34.41,270
074007,146.55,-34.48,225
074128,144.95,-35.55,93
075012,144.6,-35.42,84
075050,146.32,-33.61,192
075056,144.73,-34.94,87
076031,142.08,-34.23,50
076063,141.26,-35.09,60
077008,142.85,-35.93,100
077030,143.03,-36.01,100
077039,142.85,-35.5,54
078043,141.42,-36.11,130
079010,142.4,-36.78,146
079036,141.94,-36.74,122
080004,143.85,-35.98,88
080009,143.35,-36.48,177
080065,145.55,-35.88,115
082001,146.71,-36.37,580
082068,147.37,-36.53,320
083032,146.32,-36.85,816
